full_text,label
Dulu NU dipandang sbg partai oportunis sama halnya dg PNI. Stereotip tsb diprovokasi oleh kesiapan NU utk bekerja sama dg pemerintahan Belanda yg jelas asing dan kafir. Pdhl bila dipahami serius dg mudah dibantah dg sikap kehati-hatian kewaspadaan dan kompromi para kiai https://t.co/aoYJRwctLl;,neutral
Adakah yg berani berucap spt ucapan Musa jk semua org bilang pdnya : kalau kt tdk mencoblos mk org2 kafir akan berkuasa dan Islam akan musnah dr negeri ini.. : Kallaa.. Inna ma'iya Rabbii sayahdiin https://t.co/E435aT5ytw; jiwa: # Nabi ﷺ suruh meluruskan shaf agar hati tidak berselisih. # Rasulullah ﷺ juga larang kita tasyabuh dgn orang2 kafir biar hati kita tidak condong pada kekufuran. Maka perbaiki selalu amal kita.,neutral
@kafir_introvert Ganjar sebenarnya yg paling cocok sbg penerus jokowi soalnya backgroundnya udah mirip. Sayangnya masyarakat udah sadar klo pemimpin wong cilik belum tentu berpihak dan mengutamakan wong cilik;,neutral
Nikmat yang Sering Dilupakan Salah satu makar orang kafir adalah hendak menjadikan kaum muslimin berpandangan negatif terhadap agamanya sendiri.;,neutral
Anti tesis dari Boedi Oetomo dan Jong Java adalah Sarekat Islam dan Jong Islamieten Bond yang didominasi oleh rakyat bawah arah perjuangannya adalah Nasionalisme berlandaskan Islam dan prinsip egaliter anti berkolaborasi dengan Kolonial karena dianggap bangsa Kafir yang ;,neutral
merendahkan yang muslim dan meninggikan yang kafir apesnya yg nulis namanya ibrahim..... pakai diksi wudhu pulak.... ndak malu sama bapak tauhid Nabi Ibrahim alaihisalam....;,neutral
Beberapa referensi kitab soal kafir kufr dan takfir dalam tradisi Islam. https://t.co/BdxdqjTXZq;,neutral
Kesimpulan dia Kita kena kembali dalam sunah - sederhana Kaya dan senang dalam susana sederhana. Hidup dalam sederhana. Makan dan pakaian dalam sederhana. Semua benda dalam sederhana. Beragama pun dalam sederhana jangan fanatik Sekian tazkirah - budak kafir;,neutral
gue : ju bulan depan valentine juju : valentine itu haram gak ada di islam gue : gue juga gak ada di islam juju : lu mah ada gue : hah ? juju : kafir quraisy ️️ @JulianNielson_;,racist
@tuwelysium @AnIndonesianGuy @rerenoazoro @papajahat_3gp Ini kak arti kafir menurut KBBI https://t.co/tVSjrpoGui;,neutral
Alhamdulillah! Now cope harder ya kafir!;,racist
@IATeam____ Tolong di ifokan ke Pasukan Mujshidin Untuk Segera mengexecusi Pasukan Kafir di https://t.co/ZeT7upMLL7;,racist
Kalau kau kafir beritahu. Senang sikit. Kalau kau Muslim sila bertaubat.;,racist
Ya memang seorang tokoh harus punya pandangan seperti itu.. adem kan dengernya.. gak ada kata kufar kafir;,neutral
Ketika Ruh masuk ke tubuh manusia Qalbu pun menjalankan tugasnya. bagi siapa yg selalu senantiasa mensucikan Qalbu nya maka ia akan mengatakan: Dunia adalah penjara bagi orang beriman dan surga bagi orang kafir (HR. Muslim) https://t.co/bZB2uBFRaY;,neutral
Jangan sekali kali kalian menjadikan orang kafir sebagai teman karena sesungguhnya jauh di dalam hati mereka sangat membencimu;,racist
@mx00711 Sebagai non kafir harus terus membela konsep poligami karena 'terpaksa'. Bukan dari relasi yang tak setara. Saat bersama istri pertama-lebih tinggi kekuasaan istri yang juragan dan ia cuma karyawannya. Pasca hijrah kedudukannya lebih tinggi dalam tempo singkat hasil meningkat https://t.co/hPdCAEvAp1;,neutral
@smekdoncat Cape bener dah. Ngapain si ni org ikut2 urusan politik lg. Gue mau kritik nanti dikatain kafir lagi. Dikasih ayat. Ah cape.;,racist
@memelord_666666 Lah kan dia emang kafir. Pahamkan arti kafir apa ?;,racist
@nurulcetamol @agak_kafir Kenapa kucing ya? Kan mereka gk ada yang pussy lover harusnya ayam dong krn cock lover ;,neutral
@kafir_introvert Lawannya semua turunan eks duta-menteri Bos bagian inner circle elit tahun 50-an ....;,neutral
@MarkerLut @mynewshub Ni bukan negara yg ikut western value. Kalau rasa nak ikut western of kafir value boleh ke keluar ke negara lain.;,racist
@bengkeldodo @GosongImam @yosephrosario_ @Ndons_Back @are_inismyname @cocolatetwo @gtobing2903 @An4Julie @AlmaghribiS @kurawa @mas_veel Curiga jangan² masih kafir ni orang @prabowo @gibran_tweet kondisikan dong pemujamu ini masa demi cari makan harus begini sih..;,racist
@JackVardan Bukan udah dari lama prabowo dan sby itu membangun gerakan islam konservatif untuk politiknya mereka. Akhirnya ahok dilepas y karena kafir di pulau seribu itu. Dari situ prabowo pindah dan menggabdeng anies sebagai alternatif;,racist
@jcup2023 Ahhh masaaaa??? Buktinya kafir mayoritas jd bos.. Cuma kadrun yg ke Arab ngebabu;,racist
@BANGSAygSUJUD @jokowi @alextham878 @bengkeldodo @cuitcuap_ @zy_zy_its_me @P4P4B0W0_2024 @WaktunyaIDMaju @Chavesz08 @are_inismyname @Ndons_Back Berarti selama 9 tahun Di hina .malah sekarang berkumpul yg menghina .selama pak Jokowi berkumpul penghina.gak ada kata pak Jokowi PKI.KAFIR.PETRUK.MUKIDI.;,racist
@kafir_introvert Saya kecil tidak punya apa-apa *bro literally sekolah internasional dari kecil*;,neutral
@tengklengklewer @kafir_introvert Tapi selama ini ganjar ga pernh branding dirinya jd wong cilik kita aja baru tau pas liat post background nya;,neutral
Tapi jujur gua juga kurang suka kalau beliau ngomong di tabligh akbar maksudnya kayak pas ngata2in orang2 yang memang kafir. Sama yang pernah ngecap orang dajjal segala itu gua juga ga suka.. :/;,neutral
@Jonatha88861988 @Ice__Princessss @tanyarlfes Bahkan beberapa dari mereka yg ekstrim ada yg menganggap Ali bin abi thalib adalah nabi terakhir aisyah (istri nabi muhammad) di tuduh pelacur sahabat nabi menjadi kafir seluruhnya setelah wafatnya nabi muhammad kecuali keluarga nabi (ahlul bait) dll;,racist
@democrazymedia Hei kafir laknat jauh sekali tangan haram mu untuk menyentuh ulama kami...;,racist
@barubikinlol Minoritas (kaum saya): Ta... tapi FPI anti-kafir! Saya mo beli cokelat valentine malah disweeping yang bener aja! Ya begitulah...;,racist
@debbieflavi @mx00711 @sakkusaitna @RefublikAteis @frank21blue @agama_nusantara @BayuAngora @spektrumku @Valhallaah @PaijoKhentir @iam_zelt @helenr1903 @NamoAryatara @ahmedasarlan @bnsphrxyzzz @Tita83079013 Supaya mrk bisa melarang budaya/adat/way of life kafir yg ga menutup rambut... Kan itu sebenarnya tujuan mrk. Setelah berhasil mengkerdilkan kafir agar tidak berkembang/tunduk toh akhirnya mrk juga melepas karungnya krn mrk sendiri gerah sebenarnya.;,racist
@TriCahyyow @kafir_introvert ganjar ini lebih kompeten dan lebih jelas asal usulnya. jujur sampe sekarang saya masih ga paham si jokowi ini dulu berangkat darimana.;,neutral
@memelord_666666 astajim. ahok emang kafir. kalo ahok manggil saya domba tersesat saya juga tidak akan tersinggung.;,racist
@Annescrft @WatiPakpah92720 @kafir_introvert maksudnya kalo perbandingan bibit-bebet-bobot nya di antara mereka lebih bagus pak anies tanpa menjelek2an ganjar.. yes pak ganjar dari orang biasa.. tapi gue pribadi trust issue mengingat dulu jokowi juga awalnya di bilang orang biasa pakaian sederhana tapi akhirnya...;,neutral
@opiniumat @kafir_introvert Pangkat terakhir ayahnya Ganjar lettu polisi jadi mungkin masuknya dari tamtama. Beda jauh dengan dosen.;,neutral
@Tita83079013 @aniesbaswedan Fir kafir denggar ya klu masih punya telingga dn lihatlah klu msih punya mata.d mn org kafir hidup d negri muslim pasti aman dn d lindunggi.dn lihatlah klu org muslim menjadi minoritas d negri kafir banyak yg di persekusi dn di intimidasi.buka tuh mata ap mmg sudh buta..;,racist
@tuwelysium @AnIndonesianGuy @rerenoazoro @papajahat_3gp Ya tapi bener sih dia kafir kan memang non muslim loh jelas juga itu penyebutan nya di Al-Qur'an;,neutral
@bnsphrxyzzz Basi ... Dulu masuk gereja saja dianggap kafir. Sekarang ngemis suara sama orang kafir... ;,racist
@Claudio_sigit @kafir_introvert Bener. Masih kalah sama pusat Sisi leadership menang Anies Luhut aja keok pas reklamasi;,neutral
@fmyvfnkoig @Claudio_sigit @kafir_introvert Tapi Anies pernah kalah di PTUN soal kenaikan UMP Jakarta yg mau membangkang dari ketentuan pusat dan lawannya adalah menteri PKB partai cawapresnya sendiri wkwk;,neutral
@in_makiy @Claudio_sigit @kafir_introvert Perkaderan ganjar udah sejak kuliah nelen marhaenisme Ya meski idealisme bisa aja luntur tp drpd jokowi track record perkaderan pro wong ciliknya lebih jelas;,neutral
@awank2017 Klw kafir telanjang jdi nyimpan bom nya di mana dongok makanya kencing babi jgn klen.minum jga;,purposeful embarrassment
